Light	Herbivory	Iteration	Plant	hac	hexenol	Hexenal
Low	w	it_11	32	3,638042169	6,443433735	8,873554217
High	nw	it_12	1	2,768061224	8,988435374	5,108503401
High	nw	it_12	2	1,496756579	8,235263158	7,188552632
High	nw	it_12	3	0,545575916	5,947539267	4,620141361
High	nw	it_12	4	1,065708791	6,451318681	3,768115385
High	nw	it_12	5	1,271418269	5,150673077	4,89375
High	nw	it_12	6	2,54493913	11,59086957	6,809808696
High	nw	it_12	7	0,603139535	6,094418605	3,867069767
High	nw	it_12	8	1,518769231	8,688601399	4,972755245
High	w	it_12	9	2,578767327	5,587178218	4,883980198
High	w	it_12	10	1,51728125	8,67296875	9,124921875
High	w	it_12	11	2,423307292	5,788802083	5,27796875
High	w	it_12	12	3,492555556	8,077259259	6,081733333
High	w	it_12	13	3,378818792	7,308322148	5,798939597
High	w	it_12	14	2,669458101	7,104748603	7,137150838
High	w	it_12	15	3,913474359	7,323589744	7,788012821
High	w	it_12	16	0,0001	8,212384106	7,268145695
Low	nw	it_12	17	0,994471111	4,7252	6,610666667
Low	nw	it_12	18	1,054190751	6,060231214	6,61433526
Low	nw	it_12	19	1,783515789	5,800157895	5,975105263
Low	nw	it_12	20	1,155861538	9,090615385	8,275384615
Low	nw	it_12	21	1,099979757	4,906761134	4,756275304
Low	nw	it_12	22	1,548789855	7,732391304	8,986014493
Low	nw	it_12	23	1,414013514	7,334797297	5,885756757
Low	nw	it_12	24	0,538213043	4,729652174	3,488430435
Low	w	it_12	25	5,006975806	11,24475806	10,0908871
Low	w	it_12	26	3,883838323	6,271556886	9,20748503
Low	w	it_12	27	1,478563636	6,517878788	6,578787879
Low	w	it_12	28	2,246912752	9,031879195	8,22704698
Low	w	it_12	29	3,714978417	8,284532374	8,544604317
Low	w	it_12	30	1,240524793	5,58677686	5,689876033
Low	w	it_12	31	3,116855072	9,290869565	8,957028986
Low	w	it_12	32	4,121006024	7,597590361	9,94186747
High	nw	it_13	1	2,243843537	8,87585034	4,367918367
High	nw	it_13	2	1,690026316	9,075921053	6,413131579
High	nw	it_13	3	1,031376963	4,75482199	4,275445026
High	nw	it_13	4	0,453233516	5,83956044	4,034527473
High	nw	it_13	5	1,378067308	5,326682692	3,813024038
High	nw	it_13	6	0,904426087	9,591478261	6,397434783
High	nw	it_13	7	0,671151163	5,905581395	4,820837209
High	nw	it_13	8	1,927713287	7,69013986	5,661629371
High	w	it_13	9	2,15379703	4,835222772	4,329782178
High	w	it_13	10	1,874351563	9,6596875	5,821820313
High	w	it_13	11	1,918572917	5,769635417	5,100854167
High	w	it_13	12	2,986992593	7,947481481	8,198296296
High	w	it_13	13	2,028268456	7,085503356	6,465469799
High	w	it_13	14	1,757	7,273351955	6,224804469
High	w	it_13	15	1,833230769	7,577307692	5,534237179
High	w	it_13	16	0,155950993	7,518543046	6,095086093
Low	nw	it_13	17	0,0001	4,891155556	4,574755556
Low	nw	it_13	18	1,309566474	5,774526012	5,17749711
Low	nw	it_13	19	1,646242105	5,929842105	5,754526316
Low	nw	it_13	20	1,917984615	8,24	7,324161538
Low	nw	it_13	21	0,998530364	3,947809717	5,778178138
Low	nw	it_13	22	1,073442029	8,304855072	9,426956522
Low	nw	it_13	23	0,666756081	7,210743243	8,275405405
Low	nw	it_13	24	0,0001	3,837143478	4,662391304
Low	w	it_13	25	5,090556452	11,15419355	13,59935484
Low	w	it_13	26	2,081497006	7,070718563	9,200479042
Low	w	it_13	27	3,0716	6,618060606	7,772666667
Low	w	it_13	28	3,420147651	10,64832215	8,350671141
Low	w	it_13	29	3,679165468	7,476834532	9,21381295
Low	w	it_13	30	0,83257438	5,235826446	5,069049587
Low	w	it_13	31	3,119869565	9,350724638	7,771884058
Low	w	it_13	32	2,279301205	6,835060241	10,10084337
High	nw	it_14	1	1,761095238	8,551428571	4,714795918
High	nw	it_14	2	1,780302632	7,578618421	6,448125
High	nw	it_14	3	1,039136126	5,564031414	3,688314136
High	nw	it_14	4	0,011292418	5,374230769	3,612104396
High	nw	it_14	5	1,216168269	4,478091346	4,0535625
High	nw	it_14	6	2,5542	8,559556522	7,854869565
High	nw	it_14	7	0,982697674	5,720133721	3,308034884
High	nw	it_14	8	1,090755245	7,282097902	4,899727273
High	w	it_14	9	1,398861386	5,329405941	3,945965347
High	w	it_14	10	0,811257813	8,278984375	7,201382813
High	w	it_14	11	1,294140625	5,047963542	3,814822917
High	w	it_14	12	1,555651852	7,039518519	7,06477037
High	w	it_14	13	1,856543624	6,038912752	5,073463087
High	w	it_14	14	2,504731844	7,154301676	6,597150838
High	w	it_14	15	2,061692308	6,546858974	5,370532051
High	w	it_14	16	1,604874172	8,075629139	4,931311258
Low	nw	it_14	17	0,057124444	4,624755556	5,474844444
Low	nw	it_14	18	1,421080925	5,195618497	5,320040462
Low	nw	it_14	19	1,256357895	5,072573684	5,292578947
Low	nw	it_14	20	1,332023077	8,250307692	8,163153846
Low	nw	it_14	21	0,696157895	3,667242915	3,512198381
Low	nw	it_14	22	1,347934783	7,662101449	8,040434783
Low	nw	it_14	23	1,227837838	6,653027027	5,373256757
Low	nw	it_14	24	0,582278261	4,209291304	3,816669565
Low	w	it_14	25	3,887362903	8,896612903	9,583064516
Low	w	it_14	26	1,729473054	6,184431138	5,569107784
Low	w	it_14	27	0,0001	6,170242424	6,118424242
Low	w	it_14	28	0,317251678	8,032147651	8,006644295
Low	w	it_14	29	1,611208633	5,843503597	8,883741007
Low	w	it_14	30	1,113107438	4,782603306	4,222190083
Low	w	it_14	31	2,773101449	7,629057971	7,159369565
Low	w	it_14	32	1,665933735	5,484319277	8,65126506
High	nw	it_15	1	1,831278912	8,218435374	6,665319728
High	nw	it_15	2	1,854111842	8,140855263	5,212611842
High	nw	it_15	3	0,776471204	5,032801047	4,555198953
High	nw	it_15	4	1,112510989	5,459450549	2,997384615
High	nw	it_15	5	0,734759615	5,118653846	3,498951923
High	nw	it_15	6	0,988695652	9,051652174	7,639652174
High	nw	it_15	7	0,788023256	4,82855814	4,679843023
High	nw	it_15	8	0,502713287	5,832454545	5,092426573
High	w	it_15	9	1,370722772	4,739826733	3,937143564
High	w	it_15	10	1,70259375	8,18015625	7,981953125
High	w	it_15	11	0,850036458	5,071302083	4,148260417
High	w	it_15	12	1,747666667	5,256859259	5,686888889
High	w	it_15	13	1,164489933	6,674228188	6,846778523
High	w	it_15	14	2,208335196	6,719441341	6,20301676
High	w	it_15	15	1,320217949	5,976217949	5,598032051
High	w	it_15	16	1,503986755	6,891523179	5,522682119
Low	nw	it_15	17	0,700111111	4,264151111	4,605511111
Low	nw	it_15	18	0,960734104	4,594421965	5,554763006
Low	nw	it_15	19	0,673657895	5,731157895	4,128242105
Low	nw	it_15	20	1,810115385	5,8965	7,303930769
Low	nw	it_15	21	0,0001	3,449902834	3,751910931
Low	nw	it_15	22	0,879471014	6,669057971	6,618826087
Low	nw	it_15	23	1,230337838	6,61472973	6,172047297
Low	nw	it_15	24	0,391595652	4,262430435	3,450978261
Low	w	it_15	25	2,797314516	7,982137097	9,758951613
