Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
E	constitutive	Low_RFR	Low_RFR	2	7	26	54,61213483	23,88488764	6,306797753	8,212134831	1,589589888
E	constitutive	Low_RFR	Low_RFR	3	7	27	23,38207865	8,481966292	5,044370787	2,766325843	1,47155618
F	hipvs	Low_RFR	Low_RFR	1	7	28	24,20285714	16,59197279	11,93680272	12,96251701	1,348102041
F	hipvs	Low_RFR	Low_RFR	2	7	29	78,47070707	53,87575758	15,59555556	19,70222222	2,023080808
F	hipvs	Low_RFR	Low_RFR	3	7	30	40,64611399	19,4261658	8,984507772	10,57056995	1,038170984
F	hipvs	Low_RFR	Low_RFR	1	7	31	49,40277778	18,6131746	7,584087302	9,32015873	0,900960317
F	hipvs	Low_RFR	Low_RFR	2	7	32	42,96947598	28,56340611	7,066593886	4,916462882	1,287135371
F	hipvs	Low_RFR	Low_RFR	3	7	33	54,21958763	24,34407216	10,86938144	17,31314433	1,064061856
F	hipvs	Low_RFR	Low_RFR	1	7	34	43,85216418	25,49559701	9,455447761	8,602686567	1,716291045
F	hipvs	Low_RFR	Low_RFR	2	7	35	61,3704	21,50296	7,967808	7,83296	1,390752
F	hipvs	Low_RFR	Low_RFR	3	7	36	71,51633987	13,90732026	6,149196078	6,102575163	1,774542484
