Emitter	Vol_Emitter	Light_Emitter	Receiver	Experiment	Iteration	Plant	Indole	Monoterpenes	Sesquiterpenes	DMNT	TMTT
B	hipvs	High_RFR	Low_RFR	1	2	13	66,23062731	23,56583026	5,155830258	28,39656827	0,639833948
B	hipvs	High_RFR	Low_RFR	2	2	14	84,59674797	30,28402439	5,491219512	29,46971545	0,932743902
B	hipvs	High_RFR	Low_RFR	3	2	15	30,75751938	16,87054264	3,029372093	17,8729845	0,498786822
B	hipvs	High_RFR	Low_RFR	1	2	16	38,36721311	15,13503279	2,834655738	12,09201639	0,824972131
B	hipvs	High_RFR	Low_RFR	2	2	17	38,79427673	7,171572327	1,789654088	8,964842767	0,205198113
B	hipvs	High_RFR	Low_RFR	3	2	18	26,59327869	5,910437158	2,082038251	7,329016393	0,261310383
E	constitutive	Low_RFR	Low_RFR	1	2	19	52,59824324	26,50054054	3,501155405	30,82993243	0,40019527
E	constitutive	Low_RFR	Low_RFR	2	2	20	21,49899083	26,1137156	4,447816514	34,97247706	0,49083945
E	constitutive	Low_RFR	Low_RFR	3	2	21	53,54826087	21,51417391	3,454043478	26,50826087	0,604995652
E	constitutive	Low_RFR	Low_RFR	1	2	22	53,69214286	29,78090909	5,900331169	38,45422078	0,989363636
E	constitutive	Low_RFR	Low_RFR	2	2	23	68,6697479	20,38239496	2,86597479	21,15134454	0,673348739
E	constitutive	Low_RFR	Low_RFR	3	2	24	49,69684783	24,53434783	3,466222826	25,49820652	0,565581522
E	constitutive	Low_RFR	Low_RFR	1	2	25	24,70097561	6,600304878	2,20420122	6,620731707	0,367078659
E	constitutive	Low_RFR	Low_RFR	2	2	26	37,15988764	5,015168539	1,599792135	6,011853933	0,219386517
E	constitutive	Low_RFR	Low_RFR	3	2	27	35,0908427	6,323483146	1,88452809	8,505898876	0,297456742
F	hipvs	Low_RFR	Low_RFR	1	2	28	41,90829932	25,26176871	5,575176871	42,21693878	0,378278912
F	hipvs	Low_RFR	Low_RFR	2	2	29	71,71969697	53,6540404	7,557828283	64,64141414	0,881808081
F	hipvs	Low_RFR	Low_RFR	3	2	30	35,49683938	19,25968912	4,913373057	22,25419689	0,425958031
F	hipvs	Low_RFR	Low_RFR	1	2	31	58,79206349	21,05019841	3,820075397	16,72202381	0,587630952
F	hipvs	Low_RFR	Low_RFR	2	2	32	53,45895197	34,22777293	3,981537118	18,78497817	1,045899563
F	hipvs	Low_RFR	Low_RFR	3	2	33	36,12752577	29,7385567	6,13257732	42,0092268	0,76935567
F	hipvs	Low_RFR	Low_RFR	1	2	34	63,42910448	12,0580597	2,521261194	16,99664179	0,604634328
F	hipvs	Low_RFR	Low_RFR	2	2	35	43,8836	9,34448	2,298152	11,53648	0,355052
F	hipvs	Low_RFR	Low_RFR	3	2	36	57,7575817	6,634705882	1,819372549	7,046993464	0,326701961
A	constitutive	High_RFR	Low_RFR	1	3	1	56,28525974	67,22922078	9,990584416	78,77922078	1,143071429
A	constitutive	High_RFR	Low_RFR	2	3	2	86,06703297	80,75164835	10,77054945	81,78241758	1,02456044
A	constitutive	High_RFR	Low_RFR	3	3	3	79,56	45,45906977	8,349395349	36,25476744	1,018509302
A	constitutive	High_RFR	Low_RFR	1	3	4	30,49364261	27,33797251	3,680515464	30,00415808	0,428360825
A	constitutive	High_RFR	Low_RFR	2	3	5	46,27852041	39,33545918	4,984178571	40,19015306	0,94825
A	constitutive	High_RFR	Low_RFR	3	3	6	30,13251969	27,98275591	4,510669291	27,28425197	0,69123622
A	constitutive	High_RFR	Low_RFR	1	3	7	46,49993671	19,07360759	3,108575949	20,84803797	0,210296203
A	constitutive	High_RFR	Low_RFR	2	3	8	47,24142157	16,04431373	2,187063725	20,5072549	0,246413235
A	constitutive	High_RFR	Low_RFR	3	3	9	59,48722222	13,96711111	2,242044444	19,96805556	0,553813889
B	hipvs	High_RFR	Low_RFR	1	3	10	72,65966851	58,53812155	7,437790055	53,54497238	1,10540884
B	hipvs	High_RFR	Low_RFR	2	3	11	63,6422	41,4742	6,933266667	35,99126667	1,15346
B	hipvs	High_RFR	Low_RFR	3	3	12	47,94759615	39,46456731	7,0025	41,36495192	0,591076923
B	hipvs	High_RFR	Low_RFR	1	3	13	80,14391144	52,11365314	8,570664207	51,78376384	0,770512915
B	hipvs	High_RFR	Low_RFR	2	3	14	102,6219512	79,3796748	9,68995935	62,06219512	1,229833333
B	hipvs	High_RFR	Low_RFR	3	3	15	40,90891473	37,68275194	4,97744186	40,0003876	0,578953488
B	hipvs	High_RFR	Low_RFR	1	3	16	81,08459016	31,4895082	4,238442623	34,1057377	1,157336066
B	hipvs	High_RFR	Low_RFR	2	3	17	55,97805031	19,44522013	3,152968553	21,63075472	0,529344025
B	hipvs	High_RFR	Low_RFR	3	3	18	43,64939891	11,8026776	3,302978142	16,59945355	0,504552459
E	constitutive	Low_RFR	Low_RFR	1	3	19	82,98378378	59,63837838	8,294594595	57,25081081	0,983810811
E	constitutive	Low_RFR	Low_RFR	2	3	20	38,71917431	56,93990826	8,339449541	66,64495413	0,824215596
E	constitutive	Low_RFR	Low_RFR	3	3	21	70,84652174	49,58347826	7,250782609	35,95543478	0,875082609
E	constitutive	Low_RFR	Low_RFR	1	3	22	90,87077922	86,53441558	12,18149351	66,05064935	1,287798701
E	constitutive	Low_RFR	Low_RFR	2	3	23	64,46176471	48,4210084	5,815504202	42,34495798	0,925794118
E	constitutive	Low_RFR	Low_RFR	3	3	24	69,43369565	61,425	6,259130435	57,04402174	0,816722826
E	constitutive	Low_RFR	Low_RFR	1	3	25	49,52158537	12,56719512	2,677006098	23,94390244	0,471708537
E	constitutive	Low_RFR	Low_RFR	2	3	26	53,83365169	16,40005618	1,971134831	16,45707865	0,456476966
E	constitutive	Low_RFR	Low_RFR	3	3	27	48,28859551	16,93606742	2,689994382	18,14516854	0,589230337
F	hipvs	Low_RFR	Low_RFR	1	3	28	60,28884354	57,90333333	11,80061224	73,15646259	0,943108844
F	hipvs	Low_RFR	Low_RFR	2	3	29	111,2818182	130,1358586	15,18954545	98,52727273	1,377181818
F	hipvs	Low_RFR	Low_RFR	3	3	30	52,67512953	40,69093264	6,894715026	45,55668394	0,760663212
F	hipvs	Low_RFR	Low_RFR	1	3	31	75,49603175	43,65	6,196309524	38,41734127	0,870412698
F	hipvs	Low_RFR	Low_RFR	2	3	32	71,0720524	78,75458515	7,182052402	38,04344978	1,296995633
F	hipvs	Low_RFR	Low_RFR	3	3	33	63,3128866	74,19948454	10,39149485	80,70824742	1,031
F	hipvs	Low_RFR	Low_RFR	1	3	34	93,2238806	32,28164179	4,48441791	33,47850746	0,934679104
F	hipvs	Low_RFR	Low_RFR	2	3	35	83,9744	25,55056	3,904736	23,84696	0,6934976
F	hipvs	Low_RFR	Low_RFR	3	3	36	93,12026144	14,01222222	3,07969281	18,37986928	0,448869935
A	constitutive	High_RFR	Low_RFR	1	4	1	83,23766234	128,2753247	20,28344156	99,83441558	1,368551948
A	constitutive	High_RFR	Low_RFR	2	4	2	124,6263736	155,3247253	20,80521978	101,1456044	1,957758242
A	constitutive	High_RFR	Low_RFR	3	4	3	86,07837209	60,64860465	14,1394186	41,00476744	1,182860465
A	constitutive	High_RFR	Low_RFR	1	4	4	44,11649485	51,6604811	6,922680412	40,34604811	0,706353952
A	constitutive	High_RFR	Low_RFR	2	4	5	56,57602041	72,3127551	10,14770408	50,28479592	1,38902551
A	constitutive	High_RFR	Low_RFR	3	4	6	42,52086614	54,3011811	8,085944882	34,90854331	0,81673622
A	constitutive	High_RFR	Low_RFR	1	4	7	62,94037975	36,57626582	5,453253165	26,94411392	0,879987342
